LONG,LAT,PROB,SEIZURE,YEAR,ORIGIN
10.22335652,2.133354783,0.117985223,B,2018,Nigeria
9.076953623,5.572563478,0.983452658,B,2018,Nigeria
10.22335652,2.133354783,0.368503111,B,2018,Nigeria
14.23576667,3.279757681,0.710255681,B,2018,Nigeria
11.36975942,2.133354783,0.073932882,B,2018,Nigeria
10.22335652,2.133354783,0.294395599,B,2018,Nigeria
10.22335652,2.133354783,0.85366541,B,2018,Nigeria
13.66256522,4.999362029,0.270660969,B,2018,Nigeria
10.22335652,2.133354783,0.728780704,B,2018,Nigeria
11.94296087,2.133354783,0.400121305,B,2018,Nigeria
14.23576667,3.279757681,0.957075425,B,2018,Nigeria
9.076953623,5.572563478,0.848369359,B,2018,Nigeria
11.94296087,2.133354783,0.383788623,B,2018,Nigeria
14.23576667,3.279757681,0.891736546,B,2018,Nigeria
11.36975942,2.133354783,0.38885721,B,2018,Nigeria
13.66256522,4.999362029,0.373684052,B,2018,Nigeria
11.94296087,2.133354783,0.532857207,B,2018,Nigeria
13.66256522,4.999362029,0.286784159,B,2018,Nigeria
9.076953623,5.572563478,0.972445152,B,2018,Nigeria
14.23576667,3.279757681,0.489404202,B,2018,Nigeria
14.23576667,3.279757681,0.289667003,B,2018,Nigeria
10.22335652,2.133354783,0.577880083,B,2018,Nigeria
10.22335652,2.133354783,0.564544987,B,2018,Nigeria
9.650155072,4.999362029,0.034750638,B,2018,Nigeria
10.22335652,2.706556232,0.376247115,B,2018,Nigeria
10.22335652,2.133354783,0.613760611,B,2018,Nigeria
9.076953623,5.572563478,0.99803993,B,2018,Nigeria
10.22335652,2.133354783,0.437897165,B,2018,Nigeria
11.94296087,2.133354783,0.248049152,B,2018,Nigeria
10.22335652,2.133354783,0.347053976,B,2018,Nigeria
11.94296087,2.133354783,0.865333671,B,2018,Nigeria
14.23576667,3.279757681,0.430560778,B,2018,Nigeria
9.076953623,5.572563478,0.961993798,B,2018,Nigeria
13.66256522,4.999362029,0.19501913,B,2018,Nigeria
10.22335652,2.133354783,0.300799012,B,2018,Nigeria
9.076953623,5.572563478,0.99869938,B,2018,Nigeria
10.22335652,2.706556232,0.348026034,B,2018,Nigeria
10.22335652,3.85295913,0.027916133,B,2018,Nigeria
13.66256522,4.999362029,0.309647119,B,2018,Nigeria
11.94296087,2.133354783,0.51171799,B,2018,Nigeria
13.66256522,2.706556232,0.120749783,B,2018,Nigeria
10.22335652,2.133354783,0.713156916,B,2018,Nigeria
11.36975942,2.133354783,0.339263304,B,2018,Nigeria
10.22335652,2.706556232,0.496729297,B,2018,Nigeria
10.22335652,2.133354783,0.314585993,B,2018,Nigeria
13.66256522,4.999362029,0.61016592,B,2018,Nigeria
11.36975942,2.133354783,0.190150826,B,2018,Nigeria
13.66256522,2.706556232,0.541967898,B,2018,Nigeria
13.66256522,2.706556232,0.143056442,B,2018,Nigeria
10.22335652,2.706556232,0.148646565,B,2018,Nigeria
10.22335652,2.706556232,0.352894696,B,2018,Nigeria
10.22335652,2.706556232,0.28777814,B,2018,Nigeria
